
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A13060011                        C9                                69   1   1   1   1 1      1 0 AGND                724993
A13060011                        C9                                69   1   2   1   1 2      2 0 FAN2_BAD_DSP        741377
A13060011                        C13                               70   1   1   1   1 1      1 0 AGND                724993
A13060011                        C13                               70   1   2   1   1 2      2 0 FAN1_BAD_DSP        733185
A13060011                        C21                               73   1   1   1   1 1      1 0 FAN_GND             720897
A13060011                        C21                               73   1   2   1   1 2      2 0 XSIG010180          495617
A13060011                        C22                               71   1   1   1   1 1      1 0 FAN_GND             720897
A13060011                        C22                               71   1   2   1   1 2      2 0 FAN2_BAD            700417
A13060011                        C31                               72   1   1   1   1 1      1 0 FAN_GND             720897
A13060011                        C31                               72   1   2   1   1 2      2 0 FAN1_BAD            696321
A13060011                        C32                               74   1   1   1   1 1      1 0 FAN_GND             720897
A13060011                        C32                               74   1   2   1   1 2      2 0 XSIG010169          471041
A13060026                        C15                               51   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C15                               51   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C16                               52   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C16                               52   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C18                               54   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C18                               54   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C19                               53   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C19                               53   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C20                               56   1   1   1   1 1      1 0 VFAN                749569
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
A13060026                        C20                               56   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C27                               58   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C27                               58   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C28                               57   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C28                               57   1   2   1   1 2      2 0 FAN_GND             720897
A13060026                        C29                               55   1   1   1   1 1      1 0 VFAN                749569
A13060026                        C29                               55   1   2   1   1 2      2 0 FAN_GND             720897
A13060039                        C5                                18   1   1   1   1 1      1 0 AGND                724993
A13060039                        C5                                18   1   2   1   1 2      2 0 +3.3V_DC            778241
A13060039                        C8                                23   1   1   1   1 1      1 0 AGND                724993
A13060039                        C8                                23   1   2   1   1 2      2 0 XSIG010001          4097
A13060039                        C17                               17   1   1   1   1 1      1 0 FAN_GND             720897
A13060039                        C17                               17   1   2   1   1 2      2 0 VFAN                749569
A13060039                        C23                               22   1   1   1   1 1      1 0 AGND                724993
A13060039                        C23                               22   1   2   1   1 2      2 0 XSIG010024          69633
A13060039                        C24                               20   1   1   1   1 1      1 0 AGND                724993
A13060039                        C24                               20   1   2   1   1 2      2 0 XSIG010030          94209
A13060039                        C25                               21   1   1   1   1 1      1 0 AGND                724993
A13060039                        C25                               21   1   2   1   1 2      2 0 XSIG010027          81921
A13060039                        C30                               19   1   1   1   1 1      1 0 FAN_GND             720897
A13060039                        C30                               19   1   2   1   1 2      2 0 VFAN                749569
