
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
07090268                         R515                            1062   1   2   1   1 2      2 0 XSIG110187          151638017
07090268                         R516                            1061   1   1   1   1 1      1 0 XSIG110200          151666689
07090268                         R516                            1061   1   2   1   1 2      2 0 XSIG110197          151658497
07090268                         R517                            1055   1   1   1   1 1      1 0 XSIG120176          152002561
07090268                         R517                            1055   1   2   1   1 2      2 0 XSIG120177          152006657
07090268                         R518                            1053   1   1   1   1 1      1 0 XSIG120191          152043521
07090268                         R518                            1053   1   2   1   1 2      2 0 XSIG120187          152035329
07090268                         R519                            1052   1   1   1   1 1      1 0 XSIG120197          152064001
07090268                         R519                            1052   1   2   1   1 2      2 0 XSIG120198          152068097
07090268                         R520                            1051   1   1   1   1 1      1 0 XSIG120220          152121345
07090268                         R520                            1051   1   2   1   1 2      2 0 XSIG120217          152113153
07090268                         R521                            1050   1   1   1   1 1      1 0 XSIG120227          152145921
07090268                         R521                            1050   1   2   1   1 2      2 0 XSIG120228          152150017
07090268                         R522                            1049   1   1   1   1 1      1 0 XSIG130269          152363009
07090268                         R522                            1049   1   2   1   1 2      2 0 XSIG130270          152367105
07090268                         R523                            1048   1   1   1   1 1      1 0 XSIG130272          152371201
07090268                         R523                            1048   1   2   1   1 2      2 0 XSIG130273          152375297
07090268                         R524                            1047   1   1   1   1 1      1 0 XSIG130276          152379393
07090268                         R524                            1047   1   2   1   1 2      2 0 XSIG130277          152383489
07090268                         R525                            1076   1   1   1   1 1      1 0 XSIG130280          152387585
07090268                         R525                            1076   1   2   1   1 2      2 0 XSIG130281          152391681
07090522                         R568                            1133   1   1   1   1 1      1 0 XSIG170358          153395201
07090522                         R568                            1133   1   2   1   1 2      2 0 CANA_TX             153399297
Schematic Net Listing
